CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
SKQ202304S,"Whitefield, Pearce",EK20230608,S.Pearce,CE05MOAS-G1012-00-ENG000000,1,1,2023-03-17T21:11:00,2023-06-08T18:50:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGCON-GLDRCE-01012,44.38,-124.969,,200,200,,,
SKQ202304S,"Whitefield, Pearce",EK20230608,S.Pearce,CE05MOAS-G1012-01-PARADM000,1,1,2023-03-17T21:11:00,2023-06-08T18:50:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-PARADM-50243,44.38,-124.969,,200,200,,,
SKQ202304S,"Whitefield, Pearce",EK20230608,S.Pearce,CE05MOAS-G1012-02-FLORTM000,1,1,2023-03-17T21:11:00,2023-06-08T18:50:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-FLORTM-04040,44.38,-124.969,,200,200,,,
SKQ202304S,"Whitefield, Pearce",EK20230608,S.Pearce,CE05MOAS-G1012-03-ADCPAM000,1,1,2023-03-17T21:11:00,2023-06-08T18:50:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-ADCPAM-43474,44.38,-124.969,,200,200,,,
SKQ202304S,"Whitefield, Pearce",EK20230608,S.Pearce,CE05MOAS-G1012-04-DOSTAM000,1,1,2023-03-17T21:11:00,2023-06-08T18:50:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-DOSTAM-00404,44.38,-124.969,,200,200,,,
SKQ202304S,"Whitefield, Pearce",EK20230608,S.Pearce,CE05MOAS-G1012-05-CTDGVM000,1,1,2023-03-17T21:11:00,2023-06-08T18:50:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-CTDGVM-09014,44.38,-124.969,,200,200,,,
EK20230810,"Pearce, Whitefield, Truong-Phan",,Pacific Surveyor crew,CE05MOAS-G1012-00-ENG000000,2,1,2023-08-10T17:47:00,2023-09-17T21:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGCON-GLDRCE-01012,44.6351,-124.3038,,1000,1000,On rechargeable lithium batteries,,
EK20230810,"Pearce, Whitefield, Truong-Phan",,Pacific Surveyor crew,CE05MOAS-G1012-01-PARADM000,2,1,2023-08-10T17:47:00,2023-09-17T21:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-PARADM-50243,44.6351,-124.3038,,1000,1000,On rechargeable lithium batteries,,
EK20230810,"Pearce, Whitefield, Truong-Phan",,Pacific Surveyor crew,CE05MOAS-G1012-02-FLORTM000,2,1,2023-08-10T17:47:00,2023-09-17T21:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-FLORTM-04040,44.6351,-124.3038,,1000,1000,On rechargeable lithium batteries,,
EK20230810,"Pearce, Whitefield, Truong-Phan",,Pacific Surveyor crew,CE05MOAS-G1012-03-ADCPAM000,2,1,2023-08-10T17:47:00,2023-09-17T21:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-ADCPAM-43474,44.6351,-124.3038,,1000,1000,On rechargeable lithium batteries,,
EK20230810,"Pearce, Whitefield, Truong-Phan",,Pacific Surveyor crew,CE05MOAS-G1012-04-DOSTAM000,2,1,2023-08-10T17:47:00,2023-09-17T21:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-DOSTAM-00404,44.6351,-124.3038,,1000,1000,On rechargeable lithium batteries,,
EK20230810,"Pearce, Whitefield, Truong-Phan",,Pacific Surveyor crew,CE05MOAS-G1012-05-CTDGVM000,2,1,2023-08-10T17:47:00,2023-09-17T21:10:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-CTDGVM-09014,44.6351,-124.3038,,1000,1000,On rechargeable lithium batteries,,
EK20231213,"S.Pearce, J.Whitefield",,Pacific Surveyor crew,CE05MOAS-G1012-00-ENG000000,3,1,2023-12-13T19:46:00,2024-02-19T17:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGCON-GLDRCE-01012,44.6448,-124.3073,,1000,1000,,,
EK20231213,"S.Pearce, J.Whitefield",,Pacific Surveyor crew,CE05MOAS-G1012-01-PARADM000,3,1,2023-12-13T19:46:00,2024-02-19T17:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-PARADM-50243,44.6448,-124.3073,,1000,1000,,,
EK20231213,"S.Pearce, J.Whitefield",,Pacific Surveyor crew,CE05MOAS-G1012-02-FLORTM000,3,1,2023-12-13T19:46:00,2024-02-19T17:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-FLORTM-04040,44.6448,-124.3073,,1000,1000,,,
EK20231213,"S.Pearce, J.Whitefield",,Pacific Surveyor crew,CE05MOAS-G1012-03-ADCPAM000,3,1,2023-12-13T19:46:00,2024-02-19T17:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-ADCPAM-43474,44.6448,-124.3073,,1000,1000,,,
EK20231213,"S.Pearce, J.Whitefield",,Pacific Surveyor crew,CE05MOAS-G1012-04-DOSTAM000,3,1,2023-12-13T19:46:00,2024-02-19T17:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-DOSTAM-00404,44.6448,-124.3073,,1000,1000,,,
EK20231213,"S.Pearce, J.Whitefield",,Pacific Surveyor crew,CE05MOAS-G1012-05-CTDGVM000,3,1,2023-12-13T19:46:00,2024-02-19T17:00:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-CTDGVM-09014,44.6448,-124.3073,,1000,1000,,,
EK20240501,J.Whitefield,,,CE05MOAS-G1012-00-ENG000000,4,1,2024-05-01T21:26:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGCON-GLDRCE-01012,44.6342,-124.3068,,1000,1000,,,
EK20240501,J.Whitefield,,,CE05MOAS-G1012-01-PARADM000,4,1,2024-05-01T21:26:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-PARADM-50336,44.6342,-124.3068,,1000,1000,,,
EK20240501,J.Whitefield,,,CE05MOAS-G1012-02-FLORTM000,4,1,2024-05-01T21:26:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-FLORTM-06744,44.6342,-124.3068,,1000,1000,,,
EK20240501,J.Whitefield,,,CE05MOAS-G1012-03-ADCPAM000,4,1,2024-05-01T21:26:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-ADCPAM-43474,44.6342,-124.3068,,1000,1000,,,
EK20240501,J.Whitefield,,,CE05MOAS-G1012-04-DOSTAM000,4,1,2024-05-01T21:26:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-DOSTAM-00605,44.6342,-124.3068,,1000,1000,,,
EK20240501,J.Whitefield,,,CE05MOAS-G1012-05-CTDGVM000,4,1,2024-05-01T21:26:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01012,CGINS-CTDGVM-09692,44.6342,-124.3068,,1000,1000,,,
